Geography,Projection scenario LG: low-growth 3,Projection scenario M1: medium-growth 3,Projection scenario M2: medium-growth 3,Projection scenario M3: medium-growth 3,Projection scenario M4: medium-growth 3,Projection scenario M5: medium-growth 3,Projection scenario M6: medium-growth 3,Projection scenario HG: high-growth 3,Projection scenario SA: slow-aging 3,Projection scenario FA: fast-aging 3
"Lacombe, Alberta","15,104","16,896","17,102","16,180","16,265","15,432","18,313","19,035","18,438","15,599"
"Wetaskiwin County No. 10, Alberta","15,617","17,093","17,229","16,362","16,450","15,710","18,447","18,855","18,193","16,182"
"High River, Alberta","15,642","17,092","17,214","16,346","16,442","15,757","18,426","18,829","18,075","16,300"
"Banff, Alberta","15,773","17,381","17,713","16,840","16,830","15,737","18,809","19,333","18,813","16,182"
"Sturgeon County, Alberta","15,953","17,690","17,865","16,938","17,020","16,172","19,153","19,752","19,118","16,484"
"Mountain View County, Alberta","16,208","17,765","17,928","17,044","17,121","16,280","19,207","19,627","18,941","16,786"
"Lloydminster (Part), Alberta","17,008","19,058","19,281","18,247","18,332","17,428","20,598","21,499","20,780","17,633"
"Mackenzie County, Alberta","17,957","21,009","21,413","20,145","20,243","18,951","22,965","24,679","24,202","18,273"
"Strathmore, Alberta","18,079","20,095","20,325","19,268","19,361","18,364","21,756","22,499","21,833","18,617"
"Canmore, Alberta","18,137","19,817","19,973","18,942","19,071","18,212","21,412","21,826","21,084","18,766"
"Sylvan Lake, Alberta","19,106","21,105","21,319","20,193","20,321","19,336","22,815","23,496","22,767","19,706"
"Stony Plain, Alberta","19,198","21,012","21,100","20,031","20,175","19,413","22,631","23,156","22,151","20,106"
"Camrose, Alberta","19,941","22,134","22,353","21,172","21,291","20,263","23,937","24,753","23,942","20,612"
"Cold Lake, Alberta","20,056","22,888","23,326","22,031","22,084","20,672","24,888","26,292","25,702","20,473"
"Red Deer County, Alberta","20,247","22,522","22,730","21,539","21,656","20,629","24,367","25,224","24,347","20,989"
"Leduc County, Alberta","20,415","22,627","22,894","21,712","21,818","20,654","24,524","25,279","24,539","21,009"
"Brooks, Alberta","23,318","26,437","26,999","25,570","25,567","23,861","28,685","30,193","29,484","23,837"
"Grande Prairie County No. 1, Alberta","25,067","27,855","28,156","26,685","26,830","25,489","30,175","31,181","30,116","25,965"
"Foothills County, Alberta","26,308","28,760","28,920","27,462","27,652","26,478","31,080","31,661","30,469","27,352"
"Parkland County, Alberta","27,498","30,442","30,768","29,190","29,345","27,806","33,007","33,939","32,940","28,321"
"Okotoks, Alberta","34,534","38,231","38,571","36,568","36,795","35,069","41,393","42,628","41,187","35,754"
"Fort Saskatchewan, Alberta","35,370","39,372","39,884","37,801","37,946","35,903","42,632","44,155","42,869","36,423"
"Beaumont, Alberta","45,015","50,491","51,260","48,550","48,727","45,882","54,827","57,063","55,567","46,168"
"Leduc, Alberta","55,367","61,596","62,336","59,071","59,344","56,256","66,677","69,023","66,861","57,152"
"Spruce Grove, Alberta","59,711","66,581","67,416","63,858","64,158","60,709","72,153","74,778","72,616","61,450"
"Cochrane, Alberta","63,330","69,947","70,519","66,893","67,267","64,228","75,531","77,833","74,737","66,029"
"Medicine Hat, Alberta","64,801","71,658","72,461","68,730","69,027","65,538","77,441","79,858","77,225","67,003"
"Chestermere, Alberta","66,238","74,138","75,284","71,358","71,565","67,348","80,409","83,570","81,264","68,064"
"Grande Prairie, Alberta","67,661","76,101","77,440","73,298","73,444","68,944","82,520","86,240","84,163","69,218"
"Rocky View County, Alberta","74,794","82,524","83,356","79,116","79,523","75,463","89,399","91,736","88,808","77,230"
"St. Albert, Alberta","76,238","84,281","85,029","80,667","81,120","77,285","91,150","93,854","90,376","79,237"
"Wood Buffalo, Alberta","85,976","97,296","99,221","93,897","94,005","87,819","105,663","110,908","108,520","87,667"
"Strathcona County, Alberta","100,351","110,662","111,649","105,973","106,558","101,498","119,677","122,928","118,518","104,137"
"Red Deer, Alberta","126,173","140,427","142,248","134,807","135,327","128,001","152,041","157,462","152,854","129,905"
"Lethbridge, Alberta","137,774","154,090","156,443","148,190","148,594","139,939","166,994","173,655","169,047","141,371"
"Airdrie, Alberta","148,681","166,069","168,452","159,629","160,219","151,129","180,081","186,892","181,754","152,736"
"Edmonton, Alberta","1,803,134","2,022,188","2,055,470","1,946,967","1,951,886","1,833,631","2,193,918","2,285,096","2,227,623","1,846,898"
"Calgary, Alberta","2,309,334","2,581,573","2,622,510","2,485,387","2,492,208","2,343,575","2,800,058","2,908,105","2,831,931","2,368,327"
"Wabamun 133A, Alberta",784E,907E,917E,863E,864E,818E,988E,"1,045E","1,020E",800E
